departamento;ciudad;latitud;longitud
Santander;Los Santos;6,9167;-73,0833
Risaralda;Apia;5,1;-75,95
Magdalena;Santa Barbara de Pinto;9,4333;-74,7
Cundinamarca;Viota;4,4381;-74,5239
Antioquia;San Rafael;6,2975;-75,0314
Huila;La Argentina;2,1961;-75,98
Cesar;Gamarra;8,3333;-73,6667
Caldas;Viterbo;5,0667;-75,8833
Risaralda;Guatica;5,3167;-75,8
Risaralda;Pueblo Rico;5,25;-76,1667
Nariño;Chachagui;1,3605;-77,2835
Boyacá;Saboya;5,7;-73,7667
Magdalena;San Antonio;10;-74,6667
Cundinamarca;Susa;5,4528;-73,814
Cundinamarca;Arbelaez;4,2725;-74,4151
Nariño;El Tambo;1,4131;-77,3981
Bolívar;Hatillo de Loba;8,9586;-74,0808
Bolívar;Cordoba;9,5867;-74,8272
Huila;Pital;2,987;-75,826
Cundinamarca;Fomeque;4,4847;-73,8936
Chocó;Unguia;8,05;-77,1
Cundinamarca;Pasca;4,3075;-74,3008
Antioquia;Puerto Nare;6,1917;-74,5867
Antioquia;Ebejico;6,3333;-75,7667
Caldas;Marquetalia;5,3333;-75
Antioquia;Jerico;5,7833;-75,7833
Chocó;Acandi;8,5333;-77,2333
Sucre;Caimito;8,8333;-75,1667
Quindío;Filandia;4,6667;-75,6333
Santander;Curiti;6,6667;-73
Santander;Oiba;6,2667;-73,3
Nariño;Guaitarilla;1,1333;-77,5564
Norte de Santander;El Carmen;8,5128;-73,4508
Cauca;Paispamba;2,25;-76,5833
Santander;Bolivar;5,9911;-73,7739
Casanare;Trinidad;5,4089;-71,6622
Santander;Puente Nacional;5,8833;-73,6833
Atlántico;Candelaria;10,4592;-74,8806
Meta;Fuente de Oro;3,4667;-73,6167
Atlántico;Santa Lucia;10,3167;-74,95
Chocó;Santa Genoveva de Docordo;4,2586;-77,3675
Sucre;La Union;8,8606;-75,2806
Antioquia;Cisneros;6,5383;-75,0886
Meta;San Carlos de Guaroa;3,7111;-73,2425
Valle del Cauca;La Cumbre;3;38
Antioquia;Valdivia;7,2938;-75,3919
Tolima;Guayabal;4,9633;-74,9056
Meta;Puerto Rico;2,9383;-73,2083
Meta;Hato Corozal;3,1833;-73,75
Cundinamarca;Guacheta;5,3856;-73,6856
Bolívar;Zambrano;9,75;-74,8333
Caquetá;San Jose del Fragua;1,3286;-75,9728
Bolívar;Talaigua Nuevo;9,3069;-74,5686
Boyacá;Santa Rosa de Viterbo;5,8833;-72,9833
